z_spec,z_photo,z_photo_wgt,z_photo_err
0.5764433742,0.6067227125,1,0.07196111977
0.5150747299,0.604968071,1,0.1137362123
0.4614250958,0.3929656148,1,0.05962872133
0.2979503274,0.3202414811,1,0.03464724123
0.7187261581,0.5900059938,1,0.07697183639
0.6493316293,0.5890166163,1,0.06557341665
0.4626279175,0.4617949426,1,0.07328367233
0.5195223689,0.4992996156,1,0.07568027824
0.3109776974,0.3214445412,1,0.03008477949
0.3356707394,0.3787194788,1,0.04658136144
0.5421372056,0.5410884023,1,0.05588123947
0.5803549886,0.5520601869,1,0.06486751884
0.4936842024,0.5542366505,1,0.06275997311
0.441681385,0.516640842,1,0.0546124801
0.5820921659,0.5440450311,1,0.07029855251
0.5311537981,0.5822864175,1,0.0597980395
0.4544297159,0.5249708295,1,0.06190308183
0.5611572862,0.5843038559,1,0.0562399514
0.2264286578,0.2273856252,1,0.02531605028
0.5903191566,0.4939216971,1,0.08695583791
0.5247409344,0.5562133789,1,0.05802888051
0.4137356877,0.6100581288,1,0.08241984248
0.4577848911,0.5902930498,1,0.0603348799
0.5587070584,0.5419086218,1,0.06435638666
0.512660861,0.3888811171,1,0.05034695938
0.5503219962,0.5157970786,1,0.05589498952
0.4730298817,0.5352150798,1,0.07440047711
0.4971840978,0.540327549,1,0.060154479
0.5743139386,0.607665658,1,0.08683905751
0.4746404588,0.4438208938,1,0.06763644516
0.3997195065,0.4506258667,1,0.05806817487
0.4861789048,0.5559768677,1,0.1142885089
0.2230725884,0.2450690717,1,0.01942788064
0.3624670804,0.3682308495,1,0.04354051128
0.2587082386,0.2805795074,1,0.02137017623
0.3361252844,0.2805795074,1,0.02080412954
0.4260940552,0.5341085792,1,0.05936111882
0.6052695513,0.540506959,1,0.06454931945
0.4936986566,0.4878546596,1,0.0669836998
0.3072366118,0.520665884,1,0.1331094801
0.37051633,0.2987752855,1,0.04159326106
0.5309467316,0.5502995849,1,0.05992880091
0.4551132023,0.3959280849,1,0.07790122926
0.6307702065,0.5009838939,1,0.08279711753
0.5691592097,0.56047225,1,0.05262324959
0.5082371235,0.4063141048,1,0.08258426189
0.4555567205,0.5490035415,1,0.05834465846
0.4969755113,0.5468474627,1,0.06717977673
0.5628447533,0.551887095,1,0.06864479929
0.4521285295,0.3548973203,1,0.05865254998
0.4227503836,0.525498867,1,0.09700456262
0.6120674014,0.539393425,1,0.06807684153
0.3376320302,0.3571502864,1,0.05573787913
0.2792527974,0.4308936894,1,0.1095802486
0.5560896993,0.5399504304,1,0.05802780017
0.2400517762,0.3092302382,1,0.07728894055
