MAG_U,MAGERR_U,MAG_G,MAGERR_G,MAG_R,MAGERR_R,MAG_I,MAGERR_I,MAG_Z,MAGERR_Z,Z
22.327299,0.678344,22.373291,0.300246,20.596453,0.069218,19.771217,0.042893,19.336424,0.044318,0.486176
24.348795,4.365649,22.736664,0.419591,21.222851,0.123247,20.410997,0.077320,19.905571,0.074858,0.502680
22.993586,1.253039,22.670572,0.394812,21.587593,0.172454,20.703753,0.101250,20.201109,0.098278,0.682118
22.083014,0.541672,20.623938,0.059943,18.958981,0.015319,18.368647,0.011786,17.968782,0.012576,0.257157
23.309122,1.675635,23.392700,0.767788,21.670443,0.186129,20.935162,0.125302,20.505024,0.130023,0.447487
23.120899,1.408934,23.085546,0.578602,21.522272,0.162385,20.564463,0.089059,20.171507,0.095635,0.586451
21.912722,0.463041,21.376160,0.119846,20.865379,0.088672,20.546616,0.087607,20.344116,0.112114,-0.000010
21.796551,0.416055,21.877012,0.190093,21.221962,0.123146,20.476254,0.082110,20.072662,0.087313,0.575966
20.851028,0.174157,19.402609,0.019463,18.221731,0.007768,17.748148,0.006655,17.337631,0.007032,0.131990
22.358900,0.698378,21.458483,0.129287,19.707100,0.030512,19.112125,0.023375,18.718063,0.025075,0.360514
23.956690,3.042333,22.123716,0.238587,20.265427,0.051028,19.614124,0.037115,19.184610,0.038535,0.361316
20.467094,0.122284,19.021421,0.013700,17.884014,0.005692,17.407597,0.004863,17.000017,0.005153,0.119625
23.536243,2.065513,23.126181,0.600667,21.521818,0.162317,20.806425,0.111292,20.262445,0.103990,0.397204
23.019201,1.282954,24.231499,1.662495,22.141512,0.287237,20.836281,0.114395,20.133642,0.092357,0.746654
24.074211,3.390120,23.360931,0.745648,21.635406,0.180218,20.712873,0.102104,20.261431,0.103893,0.527041
22.734015,0.986589,22.902163,0.488682,21.301130,0.132461,20.413555,0.077503,19.922565,0.076039,0.519248
22.676641,0.935809,21.534878,0.138711,19.698469,0.030271,19.048166,0.022037,18.617788,0.022863,0.372466
25.061251,8.414557,23.237814,0.665712,21.868223,0.223319,20.767748,0.107398,20.224239,0.100394,0.602035
23.531876,2.057219,21.841091,0.183907,19.990568,0.039615,19.307169,0.027975,18.831995,0.027849,0.360747
20.922640,0.186032,19.444710,0.020232,18.332247,0.008601,17.867487,0.007428,17.477989,0.008002,0.119563
21.826899,0.427849,20.663977,0.062194,19.125519,0.017858,18.576017,0.014266,18.206490,0.015653,0.261916
23.635256,2.262733,22.763754,0.430192,21.085562,0.108608,20.146172,0.060585,19.631302,0.058148,0.525192
24.397192,4.564648,22.877630,0.477763,21.386169,0.143253,20.605858,0.092521,20.121489,0.091329,0.554039
24.085787,3.426460,23.593876,0.924083,21.773426,0.204648,20.764256,0.107053,20.194546,0.097686,0.528368
22.490992,0.788728,22.035110,0.219890,20.205694,0.048296,19.535048,0.034508,19.084328,0.035135,0.362739
23.488611,1.976855,21.833223,0.182579,20.089369,0.043389,19.477121,0.032715,19.069403,0.034656,0.362304
24.736687,6.240303,22.885941,0.481434,21.154154,0.115690,20.035887,0.054733,19.468372,0.050045,0.568807
25.576334,13.522732,22.993080,0.531365,21.852749,0.220158,21.102806,0.146224,20.586874,0.140204,0.494643
23.213394,1.534222,20.577934,0.057456,19.012140,0.016088,18.440725,0.012595,18.058470,0.013658,0.266389
22.432415,0.747303,21.292841,0.110994,19.757261,0.031955,19.145306,0.024100,18.723927,0.025211,0.266417
21.323263,0.269052,19.956472,0.032415,18.705275,0.012127,18.144775,0.009590,17.711306,0.009921,0.158874
24.355448,4.392483,22.719679,0.413079,21.049269,0.105037,20.140215,0.060253,19.683939,0.061036,0.505566
23.259859,1.601307,22.210842,0.258522,20.368988,0.056135,19.735680,0.041511,19.310251,0.043263,0.381365
22.861582,1.109592,23.054676,0.562382,21.633465,0.179896,20.632584,0.094826,20.043739,0.085017,0.592441
22.246002,0.629407,21.461948,0.129700,19.698889,0.030282,19.100046,0.023116,18.712723,0.024952,0.328342
22.788540,1.037401,22.866917,0.473072,21.635370,0.180212,20.832031,0.113948,20.353836,0.113122,0.593117
23.806200,2.648565,22.424147,0.314644,20.863918,0.088553,19.852215,0.046215,19.355471,0.045102,0.531186
22.234728,0.622906,22.637878,0.383100,21.175554,0.117993,20.298100,0.069684,19.820620,0.069225,0.533893
23.721197,2.449119,21.787252,0.175010,20.250263,0.050320,19.678167,0.039370,19.284334,0.042242,0.265745
21.973930,0.489895,20.754799,0.067621,19.238466,0.019816,18.704424,0.016057,18.354094,0.017933,0.258477
23.266497,1.611125,22.700333,0.405783,21.388998,0.143627,20.410791,0.077306,19.859728,0.071763,0.615416
21.222818,0.245278,19.703154,0.025670,18.479752,0.009852,17.991381,0.008326,17.601482,0.008966,0.159483
23.336859,1.718994,24.036678,1.389416,22.293110,0.330278,21.040646,0.138087,20.419819,0.120210,0.646400
22.896585,1.145948,20.909491,0.077975,19.351526,0.021991,18.795879,0.017468,18.420408,0.019062,0.266406
23.059902,1.331962,22.912590,0.493397,21.298172,0.132101,20.236650,0.065850,19.695770,0.061705,0.584155
22.452805,0.761470,22.577099,0.362244,21.102236,0.110288,20.378929,0.075070,19.952951,0.078198,0.499403
22.435198,0.749221,23.030939,0.550221,21.458691,0.153148,20.577696,0.090152,20.080814,0.087971,0.510850
22.485573,0.784802,23.542152,0.881094,22.308872,0.335108,21.232098,0.164715,20.721115,0.158657,0.682514
21.660810,0.367159,22.203289,0.256730,20.771944,0.081360,19.922779,0.049318,19.522619,0.052609,0.603804
20.452532,0.120655,19.035494,0.013879,18.056023,0.006669,17.613073,0.005877,17.255869,0.006522,0.081549
23.604677,2.199895,22.738396,0.420261,21.028097,0.103009,20.309956,0.070449,19.781681,0.066786,0.363971
23.393583,1.811191,22.445570,0.320914,20.584879,0.068484,19.908197,0.048660,19.462566,0.049778,0.384750
21.112356,0.221551,19.443657,0.020213,18.233089,0.007850,17.757957,0.006715,17.383642,0.007336,0.156026
21.952967,0.480526,20.832869,0.072662,19.520563,0.025696,18.921143,0.019604,18.519220,0.020879,0.199399
22.611752,0.881518,21.160673,0.098272,19.543251,0.026238,18.934187,0.019841,18.530622,0.021099,0.293846
22.345625,0.689892,23.231070,0.661590,21.808949,0.211454,20.697172,0.100639,20.281466,0.105827,0.636687
22.351847,0.693856,21.595352,0.146657,19.937824,0.037737,19.284374,0.027393,18.826849,0.027717,0.368520
22.528601,0.816528,21.208076,0.102658,19.517197,0.025616,18.833481,0.018084,18.401066,0.018726,0.293525
20.108086,0.087855,18.823582,0.011418,17.988468,0.006266,17.618002,0.005903,17.302658,0.006809,0.069004
23.179386,1.486913,21.433912,0.126394,19.776642,0.032531,19.129364,0.023749,18.669203,0.023971,0.292953
22.426582,0.743299,21.900650,0.194277,20.202215,0.048142,19.582649,0.036054,19.142775,0.037079,0.368565
23.882071,2.840268,22.131479,0.240299,20.377069,0.056554,19.753458,0.042197,19.331137,0.044103,0.370066
22.116278,0.558524,20.729572,0.066068,19.198431,0.019099,18.634857,0.015060,18.248476,0.016271,0.265627
22.651434,0.914333,22.191357,0.253924,21.611479,0.176290,20.896624,0.120933,20.411398,0.119281,0.624528
23.467129,1.938126,22.685440,0.400255,20.789883,0.082716,19.913288,0.048889,19.373816,0.045871,0.499986
22.969620,1.225683,21.338171,0.115725,19.614326,0.028013,19.035635,0.021785,18.645868,0.023462,0.315834
23.806566,2.649461,23.755913,1.072819,22.371878,0.355130,20.935833,0.125380,20.202845,0.098435,0.726036
23.373106,1.777351,22.385616,0.303674,21.024323,0.102651,20.095430,0.057819,19.587887,0.055868,0.537954
22.461090,0.767303,22.492290,0.335025,20.996162,0.100023,20.253201,0.066861,19.866903,0.072239,0.489393
22.526531,0.814973,20.809267,0.071100,19.250587,0.020039,18.702280,0.016025,18.302547,0.017101,0.276423
23.698288,2.397982,22.434298,0.317600,20.994877,0.099905,20.313072,0.070652,19.790638,0.067339,0.478802
22.347099,0.690829,23.025593,0.547518,21.279268,0.129821,20.197289,0.063505,19.667015,0.060092,0.561616
22.575912,0.852895,22.539772,0.350001,21.108904,0.110968,20.520271,0.085507,19.996223,0.081377,0.422033
23.145655,1.441426,22.177462,0.250695,20.595371,0.069149,19.954243,0.050768,19.493900,0.051236,0.398068
22.306551,0.665504,22.839960,0.461471,21.272491,0.129013,20.311275,0.070535,19.743116,0.064455,0.538007
22.202997,0.604964,22.990137,0.529927,21.490313,0.157674,20.515627,0.085142,19.965235,0.079087,0.560044
23.503496,2.004147,22.731665,0.417664,21.446850,0.151487,20.563917,0.089015,20.067438,0.086894,0.579060
22.335192,0.683294,22.870007,0.474420,21.264973,0.128122,20.398321,0.076423,19.895912,0.074195,0.494311
23.621431,2.234105,21.540945,0.139489,19.858280,0.035071,19.236931,0.026222,18.783211,0.026625,0.367642
19.935585,0.074949,18.661514,0.009835,17.735346,0.004963,17.346231,0.004596,16.990288,0.005107,0.101633
23.582859,2.156129,22.578075,0.362569,21.147701,0.115005,20.181990,0.062617,19.690084,0.061383,0.559427
21.910749,0.462201,20.815489,0.071508,19.381369,0.022604,18.862675,0.018577,18.478300,0.020106,0.254947
22.419464,0.738442,21.629339,0.151320,19.949329,0.038139,19.316376,0.028213,18.826027,0.027696,0.380026
24.061783,3.351537,23.125654,0.600375,21.595739,0.173753,20.600914,0.092100,19.937185,0.077070,0.541385
23.034058,1.300630,22.719057,0.412842,21.330738,0.136123,20.432945,0.078899,19.883408,0.073346,0.525134
23.142212,1.436863,21.690378,0.160071,19.994322,0.039753,19.377237,0.029839,18.922483,0.030270,0.367270
22.782898,1.032024,22.223743,0.261613,21.009497,0.101259,20.264198,0.067542,19.781591,0.066780,0.504220
23.024023,1.288665,22.237610,0.264975,21.909634,0.232001,21.234819,0.165129,20.877193,0.183185,0.777111
22.432842,0.747597,22.840004,0.461490,21.246437,0.125954,20.389706,0.075819,19.862755,0.071964,0.487682
21.821295,0.425646,22.042648,0.221422,21.121807,0.112295,20.258293,0.067176,19.810644,0.068591,0.662273
23.049341,1.319068,22.649925,0.387374,21.083691,0.108421,20.189064,0.063026,19.664873,0.059974,0.484466
24.177454,3.728309,21.856840,0.186594,20.139574,0.045443,19.522886,0.034123,19.051493,0.034089,0.350022
21.543264,0.329485,21.714367,0.163647,19.981268,0.039277,19.347788,0.029041,18.870117,0.028844,0.363711
22.967314,1.223085,23.089054,0.580474,21.502031,0.159385,20.549232,0.087819,19.934793,0.076901,0.485198
21.426794,0.295970,22.252317,0.268589,20.720787,0.077616,20.016064,0.053743,19.498566,0.051456,0.374939
27.482065,78.226974,23.191015,0.637628,21.855682,0.220754,21.139030,0.151185,20.509727,0.130588,0.485982
22.484348,0.783917,23.414841,0.783606,22.130653,0.284379,20.947433,0.126727,20.270357,0.104750,0.653981
19.971285,0.077454,18.705633,0.010243,17.826313,0.005397,17.368668,0.004692,16.986183,0.005087,0.102130
24.255728,4.007020,22.527447,0.346050,21.280165,0.129928,20.574465,0.089884,19.964060,0.079002,0.499820
23.669729,2.335731,22.838823,0.460989,21.429802,0.149127,20.622128,0.093917,20.094425,0.089080,0.486736
25.845367,17.325184,22.908764,0.491662,21.433245,0.149601,20.366890,0.074242,19.828892,0.069754,0.546366
22.453617,0.762040,21.912643,0.196435,20.151606,0.045949,19.461336,0.032243,18.975727,0.031791,0.388093
23.424864,1.864129,23.357193,0.743084,21.493387,0.158122,20.428190,0.078555,19.811447,0.068642,0.555569
23.004309,1.265478,21.937468,0.200978,20.116373,0.044482,19.442215,0.031680,18.951849,0.031099,0.369459
22.101891,0.551171,23.167875,0.624182,22.075979,0.270413,21.240833,0.166046,20.800976,0.170766,0.614734
23.432219,1.876799,22.847040,0.464491,21.161907,0.116519,20.300013,0.069807,19.813229,0.068755,0.493872
22.963818,1.219151,22.735704,0.419220,21.762680,0.202632,20.954214,0.127521,20.618441,0.144341,0.603981
21.640104,0.360224,20.391262,0.048380,18.798058,0.013209,18.180948,0.009915,17.738848,0.010175,0.243824
23.772898,2.568559,21.825260,0.181244,20.253853,0.050487,19.392494,0.030262,18.904764,0.029780,0.484831
25.156740,9.188122,22.925213,0.499167,21.113033,0.111391,20.305138,0.070137,19.864548,0.072083,0.484254
22.338341,0.685279,20.694967,0.063995,19.114849,0.017684,18.541573,0.013821,18.137085,0.014684,0.246232
20.596191,0.137723,19.360916,0.018730,18.372118,0.008922,17.869093,0.007439,17.460712,0.007876,0.115826
23.620266,2.231707,23.011362,0.540388,21.428873,0.149000,20.635311,0.095065,20.151402,0.093880,0.460784
22.761175,1.011582,22.985332,0.527587,21.209049,0.121690,20.428553,0.078581,19.900797,0.074530,0.451725
23.131693,1.423011,21.967775,0.206667,20.142035,0.045546,19.500481,0.033426,19.069815,0.034669,0.391976
23.281736,1.633901,24.711527,2.586851,22.943316,0.601122,21.736835,0.262198,21.124670,0.230081,0.681052
20.925261,0.186481,19.385567,0.019160,18.298920,0.008341,17.843569,0.007266,17.450712,0.007804,0.109238
22.463734,0.769174,21.348890,0.116874,19.702162,0.030374,19.113560,0.023406,18.703966,0.024751,0.279985
23.191473,1.503558,23.135902,0.606069,21.629726,0.179278,20.910875,0.122531,20.494862,0.128812,0.486504
22.924520,1.175816,22.123117,0.238456,20.308640,0.053100,19.640676,0.038033,19.206638,0.039325,0.391770
23.977926,3.102425,21.622450,0.150363,19.938433,0.037758,19.320143,0.028311,18.913147,0.030010,0.285955
22.522999,0.812326,21.273579,0.109042,20.463978,0.061267,19.867031,0.046850,19.345592,0.044694,-0.000008
22.828703,1.076494,22.822950,0.454298,21.698875,0.191067,20.892982,0.120528,20.473661,0.126321,0.626399
22.869484,1.117697,20.925547,0.079137,19.127886,0.017897,18.496672,0.013261,18.101276,0.014208,0.280806
20.874651,0.177988,19.660919,0.024690,18.536409,0.010380,18.047976,0.008772,17.634573,0.009244,0.110605
23.647028,2.287400,21.583025,0.145001,19.777821,0.032566,19.114746,0.023431,18.690884,0.024455,0.336650
23.021090,1.285188,23.029255,0.549367,21.405401,0.145813,20.574772,0.089909,20.076290,0.087605,0.508713
23.321852,1.695397,23.264709,0.682409,21.413555,0.146912,20.397791,0.076386,19.930069,0.076567,0.540712
23.525759,2.045664,23.377687,0.757244,21.710423,0.193110,20.685160,0.099531,20.206659,0.098782,0.534068
24.043070,3.294265,23.713150,1.031386,22.250900,0.317684,21.057037,0.140188,20.472284,0.126161,0.665799
24.108305,3.498267,23.252726,0.674918,21.493610,0.158154,20.607988,0.092702,20.123323,0.091483,0.531624
25.906439,18.327623,23.099709,0.586199,21.494297,0.158254,20.745743,0.105243,20.349436,0.112664,0.459432
23.464579,1.933581,22.723042,0.414360,20.887941,0.090534,19.983747,0.052167,19.494999,0.051288,0.511448
22.304068,0.663984,20.600403,0.058657,19.156246,0.018371,18.576775,0.014276,18.166706,0.015090,0.179684
23.300798,1.662838,23.076937,0.574032,21.283575,0.130336,20.307171,0.070269,19.777338,0.066519,0.501838
22.948723,1.202318,23.150900,0.614498,21.436220,0.150011,20.572889,0.089753,20.112228,0.090553,0.487290
24.385830,4.517133,22.945789,0.508718,21.202766,0.120988,20.360172,0.073784,19.868109,0.072320,0.487182
24.258963,4.018980,23.662254,0.984153,22.180279,0.297678,21.198669,0.159721,20.588596,0.140427,0.556265
21.263048,0.254537,19.894672,0.030622,18.751062,0.012649,18.182770,0.009931,17.776096,0.010531,0.185119
22.695423,0.952138,22.835093,0.459407,21.106153,0.110687,20.281353,0.068618,19.805393,0.068261,0.477937
32.630444,8968.247070,23.071085,0.570946,21.355862,0.139310,20.332197,0.071907,19.800619,0.067961,0.555627
22.706326,0.961747,22.537912,0.349403,21.232113,0.124303,20.558645,0.088584,20.167868,0.095315,0.532702
21.919779,0.466060,20.199762,0.040557,18.736475,0.012480,18.188961,0.009988,17.787624,0.010643,0.190564
23.167522,1.470752,22.860598,0.470327,21.363186,0.140253,20.444321,0.079730,19.954439,0.078305,0.525513
24.442160,4.757669,23.391922,0.767237,21.925621,0.235442,20.707037,0.101557,20.122135,0.091383,0.675649
22.810980,1.059065,22.947605,0.509569,21.637800,0.180616,20.846331,0.115459,20.426865,0.120992,0.532163
23.391066,1.806995,23.199038,0.642357,21.424673,0.148424,20.519299,0.085431,20.074774,0.087483,0.512073
