index,obsid,RA_(J2000),Dec_(J2000)
2989,44563001,282.35922,0.24138
2990,44570001,282.48775,0.51519
2991,44557001,282.5012,-0.10639
2992,44583001,282.5146,1.13541
2993,44564001,282.57339,0.20156
2994,44577001,282.59937,0.7671
2995,44571001,282.7113,0.45617
2996,44584001,282.72441,1.04233
2997,44545001,282.751,-0.85665
2998,44591002,282.85091,1.26452
2999,44539001,282.85729,-1.23498
3000,44552001,282.8803,-0.61152
3001,44578001,282.89184,0.63324
3002,44559001,282.96264,-0.35196
3003,44546001,282.96517,-0.97636
3004,44572001,282.96887,0.26538
3005,44585001,282.98759,0.93159
3006,44553001,283.07897,-0.69363
3007,44566001,283.08933,-0.10851
3008,44592001,283.11235,1.19251
3009,44547001,283.24691,-1.10987
3010,44560001,283.25028,-0.47929
3011,44573001,283.26883,0.13905
3012,44567001,283.35864,-0.23788
3013,44554001,283.35903,-0.87139
3014,44593001,283.3972,1.00263
3015,44574001,283.45141,0.04449
3016,44587001,283.48188,0.63861
3017,44561001,283.49456,-0.61071
3018,44600001,283.49601,1.24128
3019,44581001,283.63534,0.27559
3020,44594001,283.63718,0.86494
3021,44588001,283.72099,0.50529
3022,44575001,283.73082,-0.0661
3023,44601001,283.79479,1.12982
3024,44595001,283.85185,0.77289
3025,44589001,284.00077,0.3756
3026,44602001,284.00411,0.99232
3027,44609001,284.10874,1.23899
3028,44596001,284.12538,0.60116
3029,44603001,284.2401,0.85737
3030,44610002,284.38862,1.09587
