index,obsid,RA_(J2000),Dec_(J2000)
679,371050008,117.72867,-0.64596
680,371050006,117.74437,-0.65112
681,371050004,117.7496,-0.67188
682,371050007,117.75239,-0.65152
684,49619002,119.46108,1.26529
685,49619001,119.46547,1.24874
688,352420002,119.91007,0.8095
689,352420000,119.9138,0.80643
713,37767004,120.48359,0.80858
714,37767005,120.48655,0.81607
715,37767009,120.48697,0.80329
716,31016009,120.4919,0.80735
717,31016008,120.49233,0.78738
718,37767008,120.49527,0.78957
720,37767006,120.50126,0.7947
721,37767007,120.50312,0.80796
723,46685003,120.50519,0.83083
724,31016004,120.5114,0.80746
726,31016001,120.52084,0.80299
730,31016002,120.5367,0.81848
733,31016010,120.54977,0.82008
735,31016003,120.55798,0.79109
736,31016012,120.56469,0.82523
738,46685002,120.57666,0.7975
739,31016011,120.57845,0.81368
740,47119006,121.27702,-1.16784
741,47119003,121.28564,-1.16019
743,47119007,121.2914,-1.19444
744,47119001,121.29595,-1.15716
745,47119004,121.30659,-1.16586
746,47119002,121.32009,-1.1743
750,85576001,121.43465,-0.95585
751,85576003,121.46531,-0.97156
758,59003002,124.46016,0.87123
759,59003001,124.47145,0.87393
763,74283003,124.96734,-0.00398
769,67496002,124.98337,-0.01079
772,74283005,124.98768,-0.02198
781,69844001,125.01403,0.00141
782,69844002,125.01491,0.00183
786,33704002,127.03266,0.31362
787,33704001,127.046,0.27714
789,35855003,127.95771,-0.03115
790,35855002,127.96,-0.04637
802,74996003,129.98763,-0.0198
805,74996002,129.99377,-0.02837
813,74996001,130.00472,-0.00788
815,68159001,130.0177,-0.03974
820,83886004,133.60782,0.61965
822,83886008,133.62069,0.63905
823,83886010,133.62107,0.63105
824,83886006,133.62148,0.63286
825,83886005,133.62293,0.62104
826,83886001,133.62958,0.65021
827,83886011,133.63219,0.62675
828,83886009,133.63435,0.68686
829,39858002,134.01796,0.89015
830,39858001,134.04545,0.87631
837,75403004,134.97092,0.01717
857,534815000,136.55381,0.40714
858,534815001,136.5827,0.41713
859,554996001,138.55853,-0.14814
860,554996002,138.56233,-0.13755
861,554996000,138.57884,-0.13441
863,35975003,138.95961,0.11118
864,35975002,138.96955,0.09821
865,36787002,138.97297,0.0937
866,35975001,138.97565,0.09281
871,74343001,139.98055,0.00258
876,74343002,140.01504,-0.01077
877,35150001,141.62837,-0.44922
878,35150003,141.6303,-0.45138
879,35150002,141.63654,-0.41356
880,33227001,142.69968,0.576
881,33227002,142.70873,0.59865
885,618024000,144.50977,-0.5832
886,618024021,144.5229,-0.57571
887,618024022,144.52936,-0.59136
888,618024015,144.53399,-0.5937
889,618024019,144.53555,-0.58801
890,618024007,144.53883,-0.59908
891,618024027,144.54074,-0.58932
892,618024005,144.5412,-0.60869
893,618024014,144.54313,-0.60027
894,618024026,144.54372,-0.58949
895,618024025,144.54377,-0.5861
896,618024023,144.54424,-0.5929
897,618024018,144.54434,-0.58879
898,618024020,144.54534,-0.60252
899,618024003,144.54673,-0.57812
900,618024008,144.54744,-0.59643
901,618024028,144.54861,-0.60131
902,618024006,144.55151,-0.59852
903,618024017,144.55248,-0.59099
904,618024001,144.55391,-0.60996
905,618024013,144.55469,-0.58536
906,618024024,144.55562,-0.59649
907,618024016,144.56268,-0.59463
908,618024002,144.56986,-0.60866
921,37801002,145.64591,1.07706
922,37801003,145.65515,1.0816
924,35131001,145.7581,0.30164
925,35131002,145.77775,0.29273
928,46471005,146.55542,1.0439
929,46471002,146.5604,1.09396
932,91399002,146.58343,1.08058
933,91399006,146.58637,1.10932
935,91399004,146.59625,1.07794
936,91399007,146.59993,1.08374
937,46471004,146.60802,1.08878
940,31306027,147.17218,0.37183
941,31306012,147.18333,0.36546
942,31306002,147.18414,0.35812
943,31306030,147.18558,0.37236
945,31306005,147.18991,0.38592
946,31306042,147.19017,0.36267
