,Target_Name,obsid,obs_chunk,RA_(J2000),Dec_(J2000),start_time,processing_date,xrt_exposure,uvot_exposure,bat_exposure,archive_date,Eclip_LONG,Eclip_LAT,GroupID,GroupSize
853,SAA-COLD-173-7,75403006,1.0,135.01051,0.05826,2010-06-23 20:10:00,"Jun 29, 2010",157.078,0.0,218.0,"Jun 30, 2010",137.456855158,-16.2772901878,75.0,23.0
854,SAA-COLD-173-7,75403005,1.0,135.01308,0.04415,2010-06-23 18:27:00,"Jun 29, 2010",120.888,0.0,281.0,"Jun 30, 2010",137.463723253,-16.2900273351,75.0,23.0
855,SAA-COLD-172-07,75403016,1.0,135.01315,0.04505,2013-06-23 19:16:00,"Jul 4, 2013",42.539,0.0,213.0,"Jul 4, 2013",137.463518153,-16.2891463445,75.0,23.0
857,GRB 120927A,534815000,1.0,136.55381,0.40714,2012-09-27 22:25:00,"Oct 3, 2012",2980.243,3115.651,6286.061,"Oct 8, 2012",138.881800698,-15.486671545,76.0,2.0
858,GRB 120927A,534815001,1.0,136.5827,0.41713,2012-09-28 01:24:00,"Oct 4, 2012",7733.849,7742.66,7664.0,"Oct 9, 2012",138.907291812,-15.468481781,76.0,2.0
859,GRB 130502A,554996001,1.0,138.55853,-0.14814,2013-05-02 19:16:00,"May 12, 2013",1249.264,1220.847,1262.0,"May 13, 2013",141.038285655,-15.405100531,77.0,3.0
860,GRB 130502A,554996002,1.0,138.56233,-0.13755,2013-05-02 22:06:00,"May 12, 2013",527.333,525.608,536.0,"May 13, 2013",141.038636416,-15.3938544787,77.0,3.0
861,GRB 130502A,554996000,1.0,138.57884,-0.13441,2013-05-02 17:34:00,"May 12, 2013",524.94,504.856,4222.142,"May 13, 2013",141.053913086,-15.3857613947,77.0,3.0
863,BZQJ0915+0007,35975003,2.0,138.95961,0.11118,2010-10-01 17:54:00,"Oct 7, 2010",4445.408,4438.147,4508.0,"Oct 8, 2010",141.350165535,-15.0342278238,78.0,5.0
864,BZQJ0915+0007,35975002,2.0,138.96955,0.09821,2010-09-29 21:08:00,"Oct 5, 2010",461.326,457.668,493.0,"Oct 6, 2010",141.364121189,-15.043467762,78.0,5.0
865,BZQJ0915+0007,36787002,1.0,138.97297,0.0937,2007-12-31 09:24:00,"Aug 28, 2015",2667.739,2663.789,2733.0,"Jan 11, 2008",141.368938393,-15.0466918318,78.0,5.0
866,BZQJ0915+0007,35975001,1.0,138.97565,0.09281,2007-12-31 19:21:00,"Aug 28, 2015",1385.418,1343.325,1397.0,"Jan 11, 2008",141.371862531,-15.0467049824,78.0,5.0
867,SAA-COLD-148-5,67399002,1.0,139.97418,-0.0043,2005-05-28 18:50:00,"Oct 31, 2014",0.0,0.0,228.0,"Jun 8, 2005",142.38486009,-14.8264689751,79.0,10.0
868,SAA-COLD-148-5,67399001,1.0,139.97623,-0.00725,2005-05-28 20:30:00,"Oct 31, 2014",0.0,0.0,113.0,"Jun 8, 2005",142.387834235,-14.8286227517,79.0,10.0
871,SAA-COLD-149-06,74343001,1.0,139.98055,0.00258,2006-10-01 11:34:00,"Jun 5, 2015",265.989,0.0,243.0,"Oct 12, 2006",142.388871184,-14.8179322693,79.0,10.0
873,SAA-COLD-149-06,74343007,2.0,139.99088,0.00044,2015-10-01 12:58:00,"Oct 11, 2015",81.725,0.0,339.0,"Oct 12, 2015",142.399709654,-14.8167079344,79.0,10.0
874,SAA-COLD-149-06,74343008,2.0,139.99414,0.00069,2015-10-01 14:42:00,"Oct 11, 2015",64.597,0.0,269.0,"Oct 12, 2015",142.402828423,-14.8154432529,79.0,10.0
876,SAA-COLD-149-06,74343002,1.0,140.01504,-0.01077,2006-10-01 13:19:00,"Jun 5, 2015",535.472,0.0,431.0,"Oct 12, 2006",142.427081875,-14.8197309559,79.0,10.0
877,SDSSJ092635.14-,35150001,1.0,141.62837,-0.44922,2005-06-04 22:38:00,"Nov 18, 2014",10988.812,8259.507,11062.0,"Jun 15, 2005",144.153021871,-14.7208398027,80.0,3.0
878,SDSSJ092635.14-,35150003,1.0,141.6303,-0.45138,2005-06-18 00:20:00,"Nov 18, 2014",9610.357,9448.029,9804.0,"Jun 29, 2005",144.155630865,-14.7222621402,80.0,3.0
879,SDSSJ092635.14-,35150002,1.0,141.63654,-0.41356,2005-06-09 10:43:00,"Nov 18, 2014",1534.08,1515.702,1570.0,"Jun 20, 2005",144.149129912,-14.6844501201,80.0,3.0
880,BRUTUS6753_5,33227001,1.0,142.69968,0.576,2014-04-06 23:31:00,"Apr 16, 2014",2294.082,2418.945,2504.0,"Apr 17, 2014",144.855627575,-13.4039253995,81.0,2.0
881,BRUTUS6753_5,33227002,1.0,142.70873,0.59865,2014-04-07 18:33:00,"Apr 17, 2014",2971.183,2895.557,3003.0,"Apr 18, 2014",144.856850534,-13.3795635205,81.0,2.0
885,GRB141109A,618024000,1.0,144.50977,-0.5832,2014-11-09 05:34:00,"Nov 19, 2014",1599.149,1530.851,6388.152,"Nov 20, 2014",147.007372665,-13.9019955741,83.0,24.0
886,GRB141109A,618024021,1.0,144.5229,-0.57571,2014-11-26 00:09:00,"Dec 6, 2014",4969.54,5482.831,5520.0,"Dec 7, 2014",147.017548208,-13.8905540022,83.0,24.0
887,GRB141109A,618024022,1.0,144.52936,-0.59136,2014-11-27 00:08:00,"Dec 7, 2014",1837.832,3279.8,3302.0,"Dec 8, 2014",147.029201214,-13.9031512034,83.0,24.0
888,GRB141109A,618024015,1.0,144.53399,-0.5937,2014-11-20 00:14:00,"Nov 30, 2014",4833.643,0.0,4963.0,"Dec 1, 2014",147.034501776,-13.9038119118,83.0,24.0
889,GRB141109A,618024019,1.0,144.53555,-0.58801,2014-11-24 00:12:00,"Dec 4, 2014",5679.787,0.0,5805.0,"Dec 5, 2014",147.034060281,-13.8979275656,83.0,24.0
890,GRB141109A,618024007,1.0,144.53883,-0.59908,2014-11-16 19:33:00,"Nov 26, 2014",4214.809,0.0,4232.0,"Nov 27, 2014",147.041051606,-13.9072681012,83.0,24.0
891,GRB141109A,618024027,1.0,144.54074,-0.58932,2014-12-07 01:26:00,"Dec 17, 2014",4905.298,4904.044,4927.0,"Dec 18, 2014",147.039550356,-13.8974303122,83.0,24.0
892,GRB141109A,618024005,1.0,144.5412,-0.60869,2014-11-12 00:23:00,"Nov 22, 2014",4728.803,0.0,4867.0,"Nov 23, 2014",147.046657696,-13.9155359125,83.0,24.0
893,GRB141109A,618024014,1.0,144.54313,-0.60027,2014-11-19 00:13:00,"Nov 29, 2014",5501.0,5502.945,5533.0,"Nov 30, 2014",147.045636356,-13.9069546021,83.0,24.0
894,GRB141109A,618024026,1.0,144.54372,-0.58949,2014-12-04 23:59:00,"Dec 15, 2014",4851.611,4964.605,4995.0,"Dec 15, 2014",147.042502461,-13.896595954,83.0,24.0
895,GRB141109A,618024025,1.0,144.54377,-0.5861,2014-12-03 09:42:00,"Dec 13, 2014",4817.871,4814.722,4837.0,"Dec 14, 2014",147.041385384,-13.8933836657,83.0,24.0
896,GRB141109A,618024023,1.0,144.54424,-0.5929,2014-11-29 14:21:00,"Dec 9, 2014",4632.567,4626.71,4650.0,"Dec 10, 2014",147.044179924,-13.8996368107,83.0,24.0
897,GRB141109A,618024018,1.0,144.54434,-0.58879,2014-11-23 00:35:00,"Dec 3, 2014",3061.397,3055.766,3085.0,"Dec 4, 2014",147.042863802,-13.8957291674,83.0,24.0
898,GRB141109A,618024020,1.0,144.54534,-0.60252,2014-11-25 00:23:00,"Dec 5, 2014",1456.57,1451.314,1478.0,"Dec 6, 2014",147.048556136,-13.9083379073,83.0,24.0
899,GRB141109A,618024003,1.0,144.54673,-0.57812,2014-11-10 16:23:00,"Nov 20, 2014",4980.987,4979.597,4705.0,"Nov 21, 2014",147.041515757,-13.8848733835,83.0,24.0
900,GRB141109A,618024008,1.0,144.54744,-0.59643,2014-11-17 00:31:00,"Nov 27, 2014",3711.587,3707.215,3737.0,"Nov 28, 2014",147.048501091,-13.9018962783,83.0,24.0
901,GRB141109A,618024028,1.0,144.54861,-0.60131,2014-12-09 01:42:00,"Dec 19, 2014",3967.479,3963.831,3993.0,"Dec 20, 2014",147.051315379,-13.9061058351,83.0,24.0
902,GRB141109A,618024006,1.0,144.55151,-0.59852,2014-11-13 00:23:00,"Nov 23, 2014",4846.628,4807.948,4864.0,"Nov 24, 2014",147.053171908,-13.9025078221,83.0,24.0
903,GRB141109A,618024017,1.0,144.55248,-0.59099,2014-11-22 00:14:00,"Dec 2, 2014",4821.352,4896.619,4926.0,"Dec 3, 2014",147.051524323,-13.8950860029,83.0,24.0
904,GRB141109A,618024001,1.0,144.55391,-0.60996,2014-11-09 13:12:00,"Nov 19, 2014",6864.203,6830.215,6938.0,"Nov 20, 2014",147.059436842,-13.9124904019,83.0,24.0
