Tile,MagType,Error,MagErr_Box,MagErr_Fit
S82p43p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.260850038,25.3637152641
S82p43p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.4170851839
S82m19p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.6337164494,24.5318359815
S82m19p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.7270625661
S82m19p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.6439178889,24.568105993
S82m19p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.7620753523
S82m19p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.5007024242,-0.609437912434
S82m19p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m19p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.2472531474,25.2389808388
S82m19p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.2913805679
S82m28p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.833538233,24.6518485273
S82m28p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.8588921529
S82m28p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.8465939319,24.6904850383
S82m28p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.8973049167
S82m28p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.6172499903,-0.609437912434
S82m28p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m28p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.1415733427,25.2365474548
S82m28p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.33999238
S82p42p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,25.0080161286,24.8636025847
S82p42p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,26.1111661665
S82p42p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,25.0207202463,24.894393418
S82p42p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,26.1364197554
S82p42p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.9556687137,-0.609437912434
S82p42p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p42p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.2495659769,25.3598419729
S82p42p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.4089915449
S82p30p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.8726447941,24.6352131193
S82p30p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.8842983501
S82p30p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.8460489194,24.667216417
S82p30p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.9124002551
S82p30p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.6998359338,-0.609437912434
S82p30p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p30p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,25.1118795554
S82p30p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.1844409809
S82p3p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.986793527,24.8015468339
S82p3p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,26.055934952
S82p3p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.9636898472,24.833773889
S82p3p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,26.0837780874
S82p3p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.9339673574,-0.609437912434
