file,missing_value,month,units,year
gpcp_1dd_v1.2_p1d.199905_data_monthlyMean.npy,-99999.,05,mm/day,1999
gpcp_1dd_v1.2_p1d.201204_data_monthlyMean.npy,-99999.,04,mm/day,2012
gpcp_1dd_v1.2_p1d.200110_data_monthlyMean.npy,-99999.,10,mm/day,2001
gpcp_1dd_v1.2_p1d.200807_data_monthlyMean.npy,-99999.,07,mm/day,2008
gpcp_1dd_v1.2_p1d.199904_data_monthlyMean.npy,-99999.,04,mm/day,1999
gpcp_1dd_v1.2_p1d.200205_data_monthlyMean.npy,-99999.,05,mm/day,2002
gpcp_1dd_v1.2_p1d.199808_data_monthlyMean.npy,-99999.,08,mm/day,1998
gpcp_1dd_v1.2_p1d.200207_data_monthlyMean.npy,-99999.,07,mm/day,2002
gpcp_1dd_v1.2_p1d.200812_data_monthlyMean.npy,-99999.,12,mm/day,2008
gpcp_1dd_v1.2_p1d.199708_data_monthlyMean.npy,-99999.,08,mm/day,1997
gpcp_1dd_v1.2_p1d.200707_data_monthlyMean.npy,-99999.,07,mm/day,2007
gpcp_1dd_v1.2_p1d.200107_data_monthlyMean.npy,-99999.,07,mm/day,2001
gpcp_1dd_v1.2_p1d.200908_data_monthlyMean.npy,-99999.,08,mm/day,2009
gpcp_1dd_v1.2_p1d.200804_data_monthlyMean.npy,-99999.,04,mm/day,2008
gpcp_1dd_v1.2_p1d.201109_data_monthlyMean.npy,-99999.,09,mm/day,2011
gpcp_1dd_v1.2_p1d.200312_data_monthlyMean.npy,-99999.,12,mm/day,2003
gpcp_1dd_v1.2_p1d.200911_data_monthlyMean.npy,-99999.,11,mm/day,2009
gpcp_1dd_v1.2_p1d.200512_data_monthlyMean.npy,-99999.,12,mm/day,2005
gpcp_1dd_v1.2_p1d.201205_data_monthlyMean.npy,-99999.,05,mm/day,2012
gpcp_1dd_v1.2_p1d.200111_data_monthlyMean.npy,-99999.,11,mm/day,2001
gpcp_1dd_v1.2_p1d.200910_data_monthlyMean.npy,-99999.,10,mm/day,2009
gpcp_1dd_v1.2_p1d.201508_data_monthlyMean.npy,-99999.,08,mm/day,2015
gpcp_1dd_v1.2_p1d.200203_data_monthlyMean.npy,-99999.,03,mm/day,2002
gpcp_1dd_v1.2_p1d.200811_data_monthlyMean.npy,-99999.,11,mm/day,2008
gpcp_1dd_v1.2_p1d.201411_data_monthlyMean.npy,-99999.,11,mm/day,2014
gpcp_1dd_v1.2_p1d.201101_data_monthlyMean.npy,-99999.,01,mm/day,2011
gpcp_1dd_v1.2_p1d.200310_data_monthlyMean.npy,-99999.,10,mm/day,2003
gpcp_1dd_v1.2_p1d.199710_data_monthlyMean.npy,-99999.,10,mm/day,1997
gpcp_1dd_v1.2_p1d.200308_data_monthlyMean.npy,-99999.,08,mm/day,2003
gpcp_1dd_v1.2_p1d.200705_data_monthlyMean.npy,-99999.,05,mm/day,2007
gpcp_1dd_v1.2_p1d.200012_data_monthlyMean.npy,-99999.,12,mm/day,2000
gpcp_1dd_v1.2_p1d.201507_data_monthlyMean.npy,-99999.,07,mm/day,2015
gpcp_1dd_v1.2_p1d.199804_data_monthlyMean.npy,-99999.,04,mm/day,1998
gpcp_1dd_v1.2_p1d.199807_data_monthlyMean.npy,-99999.,07,mm/day,1998
gpcp_1dd_v1.2_p1d.200103_data_monthlyMean.npy,-99999.,03,mm/day,2001
gpcp_1dd_v1.2_p1d.200104_data_monthlyMean.npy,-99999.,04,mm/day,2001
gpcp_1dd_v1.2_p1d.201403_data_monthlyMean.npy,-99999.,03,mm/day,2014
